Unit,URL,cop at 5,cop at 47,SEER
Fraser,https://ashp.neep.org/#!/product/42937,2.26,3.3,16
Champion,https://ashp.neep.org/#!/product/42951,2.26,3.3,16
Luxiare,https://ashp.neep.org/#!/product/42931,2.26,3.3,16
York,https://ashp.neep.org/#!/product/42934,2.26,3.58,16
Fraser-Johnston,https://ashp.neep.org/#!/product/42945,2.26,3.3,16
Luxaire,https://ashp.neep.org/#!/product/42954,2.26,3.3,16
Luxaire,https://ashp.neep.org/#!/product/42184,2.24,3.28,16
Bosch,https://ashp.neep.org/#!/product/30014,2.23,3.17,16
Champion,https://ashp.neep.org/#!/product/49766,2.2,3.14,16
Coleman,https://ashp.neep.org/#!/product/49763,2.2,3.14,16
Coleman,https://ashp.neep.org/#!/product/49758,2.2,3.14,16
York,https://ashp.neep.org/#!/product/37090,2.19,3.3,16
Champion,https://ashp.neep.org/#!/product/37089,2.19,3.3,16
Luxaire,https://ashp.neep.org/#!/product/37082,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37085,2.19,3.3,16
Champion,https://ashp.neep.org/#!/product/37089,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37103,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37106,2.19,3.3,16
Luxaire,https://ashp.neep.org/#!/product/37113,2.19,3.3,16
Luxaire,https://ashp.neep.org/#!/product/37102,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37100,2.19,3.3,16
Fraser-Johnston,https://ashp.neep.org/#!/product/37124,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37126,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37106,2.19,3.3,16
Champion,https://ashp.neep.org/#!/product/37099,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37103,2.19,3.3,16
Fraser-Johnston,https://ashp.neep.org/#!/product/37109,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37116,2.19,3.3,16
Coleman,https://ashp.neep.org/#!/product/37101,2.19,3.3,16
Coleman,https://ashp.neep.org/#!/product/37107,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37110,2.19,3.3,16
Luxaire,https://ashp.neep.org/#!/product/37108,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37111,2.19,3.3,16
Champion,https://ashp.neep.org/#!/product/37089,2.19,3.3,16
Coleman,https://ashp.neep.org/#!/product/37091,2.19,3.3,16
York,https://ashp.neep.org/#!/product/37090,2.19,3.3,16
Bosch,https://ashp.neep.org/#!/product/30012,2.18,2.99,16
Bosch,https://ashp.neep.org/#!/product/30040,2.12,3.24,16
York,https://ashp.neep.org/#!/product/44539,1.98,3.18,16
Coleman,https://ashp.neep.org/#!/product/44620,1.97,3.18,16
Bosch,https://ashp.neep.org/#!/product/36446,1.97,3.02,16
Luxiare,https://ashp.neep.org/#!/product/38619,1.95,3.18,16
Coleman,https://ashp.neep.org/#!/product/42804,1.94,3.18,16
York,https://ashp.neep.org/#!/product/42773,1.94,3.18,16
York,https://ashp.neep.org/#!/product/42207,1.94,3.14,16
Coleman,https://ashp.neep.org/#!/product/42779,1.94,3.18,16
Luxiare,https://ashp.neep.org/#!/product/42805,1.94,3.18,16
York,https://ashp.neep.org/#!/product/42798,1.94,3.18,16
York,https://ashp.neep.org/#!/product/42798,1.94,3.18,16
Fraser-Johnston,https://ashp.neep.org/#!/product/42776,1.94,3.18,16
Champion,https://ashp.neep.org/#!/product/42211,1.94,3.14,16
Coleman,https://ashp.neep.org/#!/product/42766,1.94,3.18,16
York,https://ashp.neep.org/#!/product/42803,1.94,3.18,16
Luxaire,https://ashp.neep.org/#!/product/42800,1.94,3.18,16
Luxaire,https://ashp.neep.org/#!/product/44646,1.93,3.12,16
York,https://ashp.neep.org/#!/product/38017,1.92,3.12,16
Champion,https://ashp.neep.org/#!/product/38031,1.92,3.12,16
Luxaire,https://ashp.neep.org/#!/product/42995,1.89,3.12,16
Luxaire,https://ashp.neep.org/#!/product/42990,1.89,3.12,16
York,https://ashp.neep.org/#!/product/43055,1.89,3.12,16
Coleman,https://ashp.neep.org/#!/product/43064,1.89,3.12,16
Fraser-Johnston,https://ashp.neep.org/#!/product/44337,1.89,3.08,16
Fraser-Johnston,https://ashp.neep.org/#!/product/44332,1.89,3.08,16
York,https://ashp.neep.org/#!/product/43004,1.89,3.12,16
Coleman,https://ashp.neep.org/#!/product/43005,1.89,3.12,16
York,https://ashp.neep.org/#!/product/42983,1.89,3.12,16
Coleman,https://ashp.neep.org/#!/product/43056,1.89,3.12,16
York,https://ashp.neep.org/#!/product/43050,1.89,3.12,16
Luxaire,https://ashp.neep.org/#!/product/43052,1.89,3.12,16
Fraser-Johnston,https://ashp.neep.org/#!/product/42971,1.89,3.12,16
Champion,https://ashp.neep.org/#!/product/44343,1.89,3.08,16
Champion,https://ashp.neep.org/#!/product/44333,1.89,3.08,16
Luxaire,https://ashp.neep.org/#!/product/44321,1.89,3.08,16
Fraser-Johnston,https://ashp.neep.org/#!/product/43080,1.86,3.08,16
Coleman,https://ashp.neep.org/#!/product/43126,1.86,3.08,16