"NG_cool_NB","NG_cool_NB_capital","NG_cool_NB_MO","NG_cool_NB_emissions","NG_cool_private","NG_cool_CO2e","NG_nocool_NB","NG_nocool_NB_capital","NG_nocool_NB_MO","NG_nocool_NB_emissions","NG_nocool_private","NG_nocool_CO2e","price_change"
-604.300365343857,-624.190000000001,-17.7980677952055,37.6877024513515,-641.988067795206,1151.46014550702,-6665.05212490783,-6512.98,-17.7980677952055,-134.274057112619,-6530.77806779521,-4101.07607835305,0
-601.341422804762,-624.190000000001,-14.8857571033268,37.7343342985669,-639.075757103327,1152.81251195147,-6662.0673739281,-6512.98,-14.8857571033268,-134.20161682477,-6527.86575710333,-4099.72371190861,0.01
-598.873295882768,-624.190000000001,-11.9734464114499,37.2901505286832,-636.16344641145,1152.40782196718,-6657.62833076232,-6512.98,-11.9734464114499,-132.674884350866,-6524.95344641145,-4100.12840189289,0.02
-580.893167734132,-624.190000000001,-37.1483003560334,80.4451326219009,-661.338300356034,2470.57908450603,-6640.68531668367,-6512.98,-37.1483003560334,-90.5570163276338,-6550.12830035603,-2781.95713935404,0.03
-576.622381393125,-624.190000000001,-30.7686893729497,78.3363079798246,-654.95868937295,2466.77366377565,-6632.25281768223,-6512.98,-30.7686893729497,-88.5041283092821,-6543.74868937295,-2785.76256008442,0.04
-567.744341504964,-624.190000000001,-24.3890783898642,80.8347368849002,-648.579078389865,2470.17601576215,-6628.44586481827,-6512.98,-24.3890783898642,-91.0767864284057,-6537.36907838986,-2782.36020809793,0.05
-552.815254555324,-624.190000000001,-50.3398639759926,121.714609420669,-674.529863975993,3770.8666170924,-6611.13964670746,-6512.98,-50.3398639759926,-47.8197827314702,-6563.31986397599,-1481.66960676767,0.06
-542.797146419813,-624.190000000001,-40.4165170083816,121.80937058857,-664.606517008382,3771.2116005289,-6601.23425999772,-6512.98,-40.4165170083816,-47.8377429893333,-6553.39651700838,-1481.32462333117,0.07
-531.172043988005,-624.190000000001,-30.4931700407724,123.511126052765,-654.683170040773,3766.42443446465,-6592.14184016996,-6512.98,-30.4931700407724,-48.6686701291922,-6543.47317004077,-1486.11178939542,0.08
-519.091663496463,-624.190000000001,-20.5698230731614,125.668159576701,-644.759823073162,3764.02592080816,-6583.20232894304,-6512.98,-20.5698230731614,-49.6525058698815,-6533.54982307316,-1488.51030305192,0.09
-512.184945620545,-624.190000000001,-10.6464761055504,122.651530485007,-634.836476105551,3766.1465210227,-6571.9764680562,-6512.98,-10.6464761055504,-48.3499919506467,-6523.62647610555,-1486.38970283737,0.1
-483.944628825364,-624.190000000001,-54.430299521764,194.675670696397,-678.620299521765,6018.4004255444,-6542.66410614673,-6512.98,-54.430299521764,24.7461933750333,-6567.41029952176,765.86420168433,0.11
-467.620683912883,-624.190000000001,-38.1461735534795,194.715489640595,-662.33617355348,6025.85353785654,-6526.1728870669,-6512.98,-38.1461735534795,24.953286486578,-6551.12617355348,773.317313996471,0.12
-452.753894618985,-624.190000000001,-21.8620475851967,193.298152966212,-646.052047585197,6007.37930624597,-6510.50595697926,-6512.98,-21.8620475851967,24.3360906059327,-6534.8420475852,754.843082385894,0.13
-435.643318459282,-624.190000000001,-5.57792161691395,194.12460315763,-629.767921616914,6018.131656873,-6493.84909995997,-6512.98,-5.57792161691395,24.708821656948,-6518.55792161691,765.595433012924,0.14
-396.129642197895,-624.190000000001,-85.0472461701156,313.107603972223,-709.237246170116,9559.55660412845,-6456.97570486874,-6512.98,-85.0472461701156,141.051541301373,-6598.02724617012,4307.02038026838,0.15
-373.915425130861,-624.190000000001,-58.2958612716084,308.57043614075,-682.485861271609,9557.58851866463,-6432.30078147438,-6512.98,-58.2958612716084,138.975079797226,-6571.27586127161,4305.05229480455,0.16
-343.789843083425,-624.190000000001,-31.5444763730993,311.944633289677,-655.7344763731,9553.64283285003,-6404.00130222511,-6512.98,-31.5444763730993,140.523174147988,-6544.5244763731,4301.10660898995,0.17
-315.126482753218,-624.190000000001,-4.79309147459207,313.856608721377,-628.983091474593,9570.10667135,-6376.10574052034,-6512.98,-4.79309147459207,141.667350954252,-6517.77309147459,4317.57044748993,0.18
-288.830722037732,-624.190000000001,21.9582934239152,313.400984538355,-602.231706576085,9557.62434398053,-6349.85667334242,-6512.98,21.9582934239152,141.16503323367,-6491.02170657609,4305.08812012045,0.19
-255.635914815168,-624.190000000001,-49.9430024576977,418.49708764253,-674.133002457698,13024.6343080586,-6313.16517061859,-6512.98,-49.9430024576977,249.757831839104,-6562.9230024577,7772.09808419854,0.2
-215.158196409877,-624.190000000001,-12.4197236193522,421.451527209474,-636.609723619353,13047.635913379,-6273.65224549353,-6512.98,-12.4197236193522,251.747478125821,-6525.39972361935,7795.0996895189,0.21
-180.870481198923,-624.190000000001,25.1035552189896,418.215963582089,-599.086444781011,13038.7809947936,-6238.12725094553,-6512.98,25.1035552189896,249.749193835483,-6487.87644478101,7786.2447709335,0.22
-138.841509061371,-624.190000000001,62.6268340573333,422.721656881299,-561.563165942667,13061.2998529291,-6197.81071314866,-6512.98,62.6268340573333,252.542452794004,-6450.35316594267,7808.76362906898,0.23
-100.233412909216,-624.190000000001,100.150112895677,423.80647419511,-524.039887104323,13034.3061467158,-6159.73093181177,-6512.98,100.150112895677,253.098955292559,-6412.82988710432,7781.76992285572,0.24
-62.4314538537619,-624.190000000001,69.5510703026684,492.20747584357,-554.638929697332,15274.3584522833,-6120.47830468292,-6512.98,69.5510703026684,322.950625014418,-6443.42892969733,10021.8222284232,0.25
-12.7075389817692,-624.190000000001,114.35235646153,497.1301045567,-509.837643538471,15262.9046191965,-6072.59156434157,-6512.98,114.35235646153,326.036079196904,-6398.62764353847,10010.3683953364,0.26
30.4313737503362,-624.190000000001,159.153642620393,495.467731129949,-465.036357379608,15257.4880539805,-6028.96770068711,-6512.98,159.153642620393,324.858656692505,-6353.82635737961,10004.9518301205,0.27
78.7113999455796,-624.190000000001,203.954928779254,498.946471166326,-420.235071220746,15253.957570795,-5981.93999802534,-6512.98,203.954928779254,327.085073195403,-6309.02507122075,10001.421346935,0.28
125.983971099042,-624.190000000001,248.756214938116,501.417756160927,-375.433785061885,15270.7644560121,-5935.30092627618,-6512.98,248.756214938116,328.922858785703,-6264.22378506188,10018.228232152,0.29
167.337277195009,-624.190000000001,293.557501096977,497.969776098033,-330.632498903024,15247.037013064,-5892.98543862706,-6512.98,293.557501096977,326.437060275963,-6219.42249890302,9994.50078920395,0.3
211.913219257178,-624.190000000001,251.49275502025,584.610464236929,-372.69724497975,18076.133897772,-5846.81433724118,-6512.98,251.49275502025,414.67290773857,-6261.48724497975,12823.5976739119,0.31
275.676678265656,-624.190000000001,306.086672033507,593.780006232151,-318.103327966493,18076.1916258068,-5785.77449252707,-6512.98,306.086672033507,421.118835439426,-6206.89332796649,12823.6554019467,0.32
327.160413897804,-624.190000000001,360.680589046766,590.669824851041,-263.509410953235,18092.3843686822,-5733.13253838614,-6512.98,360.680589046766,419.166872567095,-6152.29941095323,12839.8481448221,0.33
379.75413633501,-624.190000000001,415.274506060023,588.66963027499,-208.915493939978,18092.2860429171,-5679.97877549787,-6512.98,415.274506060023,417.726718442108,-6097.70549393998,12839.749819057,0.34
445.128540406429,-624.190000000001,469.868423073278,599.450117333152,-154.321576926723,18076.6011873248,-5617.80904258541,-6512.98,469.868423073278,425.302534341317,-6043.11157692672,12824.0649634647,0.35
480.519713266454,-624.190000000001,524.462340086537,580.247373179918,-99.7276599134639,18084.3012567478,-5576.82813170466,-6512.98,524.462340086537,411.689528208804,-5988.51765991346,12831.7650328877,0.36
532.53126289554,-624.190000000001,506.867441845676,649.85382104986,-117.322558154325,20271.5229412154,-5524.70010687158,-6512.98,506.867441845676,481.412451282739,-6006.11255815432,15018.9867173553,0.37
608.178886556252,-624.190000000001,569.711982682862,662.656903873391,-54.4780173171384,20310.5630667403,-5451.92325981636,-6512.98,569.711982682862,491.344757500779,-5943.26801731714,15058.0268428802,0.38
674.398951432486,-624.190000000001,632.556523520052,666.032427912434,8.36652352005149,20296.1277673948,-5386.70441724988,-6512.98,632.556523520052,493.719059230071,-5880.42347647995,15043.5915435348,0.39
730.400238477778,-624.190000000001,695.40106435724,659.18917412054,71.2110643572396,20297.1918929047,-5328.94928276416,-6512.98,695.40106435724,488.629652878603,-5817.57893564276,15044.6556690446,0.4
784.829478483414,-624.190000000001,758.245605194426,650.773873288991,134.055605194426,20326.2868337654,-5272.11699266025,-6512.98,758.245605194426,482.617402145322,-5754.73439480557,15073.7506099053,0.41
848.936909023865,-624.190000000001,821.090146031613,652.03676299225,196.900146031612,20287.6134098817,-5208.77537765238,-6512.98,821.090146031613,483.114476316006,-5691.88985396839,15035.0771860216,0.42
932.806479715877,-624.190000000001,883.934686868801,673.061792847078,259.7446868688,20296.5639015923,-5130.11894889204,-6512.98,883.934686868801,498.926364239165,-5629.0453131312,15044.0276777322,0.43
982.99573430793,-624.190000000001,904.362249009948,702.823485297979,280.172249009947,21659.3939107077,-5076.1421215863,-6512.98,904.362249009948,532.475629403753,-5608.61775099005,16406.8576868476,0.44
1052.3332396424,-624.190000000001,972.650340527962,703.872899114442,348.460340527961,21689.7945135339,-5006.82277205747,-6512.98,972.650340527962,533.506887414574,-5540.32965947204,16437.2582896738,0.45
1107.62693869099,-624.190000000001,1040.93843204598,690.878506645011,416.748432045975,21748.6946733435,-4947.98266338043,-6512.98,1040.93843204598,524.05890457359,-5472.04156795402,16496.1584494834,0.46
1196.86595226889,-624.190000000001,1109.22652356399,711.829428704905,485.036523563989,21657.2247911667,-4864.52051408839,-6512.98,1109.22652356399,539.232962347622,-5403.75347643601,16404.6885673066,0.47
1248.62306460297,-624.190000000001,1177.514615082,695.298449520965,553.324615082003,21689.0639819516,-4808.48861097138,-6512.98,1177.514615082,526.976773946614,-5335.465384918,16436.5277580915,0.48
1314.67997883408,-624.190000000001,1245.80270660002,693.067272234066,621.612706600017,21655.333228507,-4742.19596185091,-6512.98,1245.80270660002,524.981331549076,-5267.17729339998,16402.7970046469,0.49
1396.45006690612,-624.190000000001,1314.09079811803,706.549268788086,689.900798118031,21681.9309466369,-4663.56009056419,-6512.98,1314.09079811803,535.329111317783,-5198.88920188197,16429.3947227768,0.5
1452.42882379602,-624.190000000001,1382.37888963605,694.23993415997,758.188889636045,21678.8736769693,-4604.5103132265,-6512.98,1382.37888963605,526.090797137457,-5130.60111036395,16426.3374531093,0.51
1540.11478646954,-624.190000000001,1428.02401422094,736.280772248597,803.834014220942,22564.2599618722,-4519.93246004586,-6512.98,1428.02401422094,565.023525733195,-5084.95598577906,17311.7237380121,0.52
1611.29637184638,-624.190000000001,1500.13389040498,735.352481441394,875.94389040498,22540.4063093272,-4448.90415129781,-6512.98,1500.13389040498,563.941958297204,-5012.84610959502,17287.8700854671,0.53
1676.69793657327,-624.190000000001,1572.24376658902,728.644169984249,948.053766589019,22564.1371222464,-4381.64165443074,-6512.98,1572.24376658902,559.094578980242,-4940.73623341098,17311.6008983864,0.54
1750.28817873519,-624.190000000001,1644.35364277306,730.124535962135,1020.16364277306,22539.6918051192,-4308.71836049227,-6512.98,1644.35364277306,559.907996734672,-4868.62635722694,17287.1555812591,0.55
1823.01387330347,-624.190000000001,1716.4635189571,730.740354346368,1092.2735189571,22572.7805800879,-4235.86103039041,-6512.98,1716.4635189571,560.655450652493,-4796.5164810429,17320.2443562278,0.56
1897.16783764454,-624.190000000001,1788.57339514114,732.784442503405,1164.38339514114,22528.1141638489,-4162.52914480208,-6512.98,1788.57339514114,561.87746005678,-4724.40660485886,17275.5779399888,0.57
1963.8616356387,-624.190000000001,1860.68327132518,727.368364313522,1236.49327132518,22513.3833220866,-4094.73051438152,-6512.98,1860.68327132518,557.566214293305,-4652.29672867482,17260.8470982266,0.58
2060.27293028538,-624.190000000001,1932.79314750922,751.669782776164,1308.60314750921,22563.4963733324,-4003.55855680645,-6512.98,1932.79314750922,576.628295684332,-4580.18685249078,17310.9601494723,0.59
2110.49424187455,-624.190000000001,1994.25581736557,740.428424508978,1370.06581736557,23087.0240681255,-3946.75474110622,-6512.98,1994.25581736557,571.969441528212,-4518.72418263443,17834.4878442654,0.6
2183.65409771126,-624.190000000001,2068.94124408541,738.902853625848,1444.75124408541,23098.8212449955,-3873.15198133278,-6512.98,2068.94124408541,570.886774581815,-4444.03875591459,17846.2850211354,0.61
2278.36861921023,-624.190000000001,2143.62667080525,758.931948404983,1519.43667080525,23105.1008478561,-3783.03869516154,-6512.98,2143.62667080525,586.314634033216,-4369.35332919475,17852.564623996,0.62
2355.31173243469,-624.190000000001,2218.31209752509,761.189634909598,1594.12209752509,23133.7585448187,-3706.2650743777,-6512.98,2218.31209752509,588.402828097208,-4294.66790247491,17881.2223209586,0.63
2426.13081479053,-624.190000000001,2292.99752424493,757.323290545599,1668.80752424493,23092.4480585758,-3634.86531155839,-6512.98,2292.99752424493,585.117164196684,-4219.98247575507,17839.9118347157,0.64
2493.55335226097,-624.190000000001,2367.68295096477,750.060401296213,1743.49295096476,23089.9928245045,-3565.96420185153,-6512.98,2367.68295096477,579.332847183705,-4145.29704903524,17837.4566006444,0.65
2571.59595949095,-624.190000000001,2442.36837768461,753.417581806351,1818.17837768461,23100.2918158555,-3488.38014187419,-6512.98,2442.36837768461,582.231480441205,-4070.61162231539,17847.7555919955,0.66
2628.07898685749,-624.190000000001,2517.05380440444,735.215182453053,1892.86380440444,23050.2527518362,-3428.15333519672,-6512.98,2517.05380440444,567.772860398837,-3995.92619559556,17797.7165279761,0.67
2731.96701540759,-624.190000000001,2591.73923112428,764.417784283307,1967.54923112428,23133.9939403754,-3330.40919757888,-6512.98,2591.73923112428,590.831571296834,-3921.24076887572,17881.4577165153,0.68
2795.95459141869,-624.190000000001,2666.42465784412,753.719933574563,2042.23465784412,23097.6464697761,-3264.11793110665,-6512.98,2666.42465784412,582.43741104923,-3846.55534215588,17845.110245916,0.69
2875.99820362902,-624.190000000001,2739.80006630629,760.388137322736,2115.61006630629,23577.8167202742,-3182.13530638783,-6512.98,2739.80006630629,591.044627305884,-3773.17993369371,18325.2804964141,0.7
2955.79005562716,-624.190000000001,2817.11753950916,762.862516117996,2192.92753950916,23606.4507207739,-3102.68017692802,-6512.98,2817.11753950916,593.182283562821,-3695.86246049084,18353.9144969138,0.71
3033.43753433233,-624.190000000001,2894.43501271204,763.192521620288,2270.24501271204,23622.3264537783,-3025.07243765816,-6512.98,2894.43501271204,593.472549629805,-3618.54498728796,18369.7902299182,0.72
3133.30790421166,-624.190000000001,2971.75248591491,785.745418296749,2347.56248591491,23589.9009494914,-2930.53859082245,-6512.98,2971.75248591491,610.688923262642,-3541.22751408509,18337.3647256313,0.73
3192.57879379746,-624.190000000001,3049.06995911779,767.698834679674,2424.87995911779,23650.1844189949,-2866.66222288663,-6512.98,3049.06995911779,597.247817995578,-3463.91004088221,18397.6481951348,0.74
3273.8786675008,-624.190000000001,3126.38743232067,771.681235180131,2502.19743232067,23656.8650121013,-2786.226887139,-6512.98,3126.38743232067,600.365680540336,-3386.59256767933,18404.3287882413,0.75
3349.69612700119,-624.190000000001,3203.70490552354,770.181221477646,2579.51490552354,23621.2861710792,-2710.26244989323,-6512.98,3203.70490552354,599.01264458323,-3309.27509447646,18368.7499472191,0.76
3413.13970211564,-624.190000000001,3281.02237872642,756.307323389224,2656.83237872642,23574.6350747983,-2644.1289837478,-6512.98,3281.02237872642,587.828637525786,-3231.95762127358,18322.0988509382,0.77
3504.48252339504,-624.190000000001,3358.33985192929,770.332671465748,2734.14985192929,23579.7426050551,-2555.85618141792,-6512.98,3358.33985192929,598.783966652787,-3154.64014807071,18327.2063811951,0.78
3577.56348885425,-624.190000000001,3435.65732513217,766.096163722078,2811.46732513217,23602.6081217133,-2481.72807831834,-6512.98,3435.65732513217,595.594596549487,-3077.32267486783,18350.0718978532,0.79
3638.41374609413,-624.190000000001,3512.97479833505,749.628947759091,2888.78479833505,23607.6702399787,-2417.10413605904,-6512.98,3512.97479833505,582.901065605921,-3000.00520166495,18355.1340161187,0.8
3729.66701996896,-624.190000000001,3590.29227153792,763.564748431036,2966.10227153792,23611.4342282098,-2329.01541936791,-6512.98,3590.29227153792,593.67230909417,-2922.68772846208,18358.8980043498,0.81
3819.07132403643,-624.190000000001,3667.60974474079,775.651579295638,3043.41974474079,23637.869359108,-2242.04557013735,-6512.98,3667.60974474079,603.324685121852,-2845.37025525921,18385.3331352479,0.82
3899.04719038833,-624.190000000001,3744.92721794367,778.309972444663,3120.73721794367,23624.7804468333,-2162.7939192609,-6512.98,3744.92721794367,605.258862795432,-2768.05278205633,18372.2442229732,0.83
3981.16827528931,-624.190000000001,3822.24469114655,783.113584142767,3198.05469114655,23619.0695537708,-2081.86759760342,-6512.98,3822.24469114655,608.867711250037,-2690.73530885345,18366.5333299107,0.84
4052.86586037004,-624.190000000001,3899.56216434942,777.493696020616,3275.37216434942,23583.5954165756,-2009.04463339474,-6512.98,3899.56216434942,604.373202255839,-2613.41783565058,18331.0591927156,0.85
4110.4003864335,-624.190000000001,3976.8796375523,757.710748881205,3352.6896375523,23609.1526789283,-1946.94688562458,-6512.98,3976.8796375523,589.153476823126,-2536.1003624477,18356.6164550682,0.86
4204.01674964368,-624.190000000001,4054.19711075518,774.009638888507,3430.00711075518,23630.6014334497,-1856.7542296109,-6512.98,4054.19711075518,602.028659633924,-2458.78288924482,18378.0652095896,0.87
4274.12684940873,-624.190000000001,4131.51458395805,766.802265450683,3507.32458395805,23610.3945591493,-1785.20209921979,-6512.98,4131.51458395805,596.263316822156,-2381.46541604195,18357.8583352892,0.88
4341.16550348065,-624.190000000001,4208.83205716093,756.523446319724,3584.64205716093,23587.0103513993,-1716.14640462972,-6512.98,4208.83205716093,588.001538209356,-2304.14794283907,18334.4741275393,0.89
4421.89680994707,-624.190000000001,4286.1495303638,759.937279583267,3661.9595303638,23627.6661734959,-1635.92378612219,-6512.98,4286.1495303638,590.90668351401,-2226.8304696362,18375.1299496359,0.9
4497.57923562902,-624.190000000001,4363.46700356668,758.302232062343,3739.27700356668,23527.5409300146,-1560.54732513317,-6512.98,4363.46700356668,588.965671300152,-2149.51299643332,18275.0047061545,0.91
4583.40041518536,-624.190000000001,4440.78447676955,766.805938415805,3816.59447676955,23605.7168296068,-1476.12981416734,-6512.98,4440.78447676955,596.065709063103,-2072.19552323045,18353.1806057467,0.92
4655.63952186161,-624.190000000001,4518.10194997243,761.727571889179,3893.91194997243,23643.3079983884,-1402.30578417666,-6512.98,4518.10194997243,592.572265850912,-1994.87805002757,18390.7717745283,0.93
4745.02694048881,-624.190000000001,4595.41942317531,773.797517313505,3971.22942317531,23596.0902666116,-1316.12195553431,-6512.98,4595.41942317531,601.438621290388,-1917.56057682469,18343.5540427516,0.94
4808.8843221769,-624.190000000001,4672.73689637818,760.337425798723,4048.54689637818,23644.7037082408,-1248.78997632971,-6512.98,4672.73689637818,591.453127292107,-1840.24310362182,18392.1674843807,0.95
4877.12325672677,-624.190000000001,4750.05436958106,751.258887145713,4125.86436958106,23612.4919435157,-1178.82155421886,-6512.98,4750.05436958106,584.104076200083,-1762.92563041894,18359.9557196556,0.96
4968.50704896033,-624.190000000001,4827.37184278393,765.325206176398,4203.18184278393,23584.1782272052,-1090.67702705942,-6512.98,4827.37184278393,594.931130156642,-1685.60815721607,18331.6420033452,0.97
5032.5310847069,-624.190000000001,4904.68931598681,752.031768720096,4280.49931598681,23580.2679548553,-1023.75748733123,-6512.98,4904.68931598681,584.533196681956,-1608.29068401319,18327.7317309952,0.98
5138.39717333552,-624.190000000001,4982.00678918969,780.580384145833,4357.81678918969,23595.1488254904,-924.120191653506,-6512.98,4982.00678918969,606.853019156808,-1530.97321081031,18342.6126016303,0.99
