zipcode,totalcost_low,totalcost_high,systemcost_low,systemcost_high,laborcost_low,laborcost_high,jobsupplycost_low,jobsupplycost_high,price_region
53001,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53002,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53004,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53005,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53006,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53007,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53010,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53011,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53012,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53013,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53014,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53015,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53017,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53018,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53019,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53020,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53021,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53022,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53023,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53024,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53027,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53029,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53032,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53033,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53034,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53035,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53036,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53037,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53038,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53039,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53040,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53042,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53044,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53045,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53046,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53048,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53049,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53050,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53051,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53057,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53058,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53059,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53061,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53062,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53063,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53065,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53066,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53069,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53070,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53072,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53072,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53073,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53074,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53075,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53076,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53078,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53079,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53080,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53081,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53083,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53085,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53086,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53089,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53090,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53091,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53092,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53093,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53094,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53094,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53095,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53097,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53098,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53099,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53103,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53104,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53105,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53108,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53110,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53114,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53115,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53118,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53119,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53120,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53121,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53122,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53125,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53126,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53128,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53129,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53130,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53137,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53139,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53140,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53142,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53143,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53144,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53147,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53149,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53150,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53153,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53154,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53156,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53158,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53158,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53168,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53170,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53172,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53177,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53178,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53179,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53181,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53182,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53183,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53184,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53185,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53186,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53188,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53189,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53190,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53191,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53202,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53203,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53204,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53205,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53206,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53207,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53208,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53209,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53210,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53211,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53212,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53213,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53214,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53215,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53216,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53217,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53218,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53219,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53220,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53221,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53222,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53223,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53224,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53225,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53226,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53227,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53228,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53233,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53235,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53259,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53263,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53274,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53278,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53288,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53290,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53293,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53295,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53402,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53403,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53404,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53405,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53406,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53407,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53502,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53503,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53504,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53505,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53506,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53507,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53508,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53510,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53511,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53515,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53516,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53517,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53518,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53520,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53521,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53522,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53523,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53525,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53526,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53527,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53528,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53529,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53530,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53531,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53532,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53533,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53534,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53536,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53538,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53541,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53543,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53544,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53545,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53546,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53548,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53549,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53550,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53551,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53553,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53554,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53555,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53556,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53557,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53558,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53559,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53560,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53561,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53563,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53565,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53566,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53569,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53570,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53572,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53573,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53574,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53575,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53576,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53577,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53578,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53579,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53580,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53581,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53582,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53583,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53585,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53586,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53587,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53588,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53589,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53590,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53594,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53595,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53596,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53597,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53598,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53702,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53703,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53704,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53705,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53706,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
53711,826.21,1847.88,188.96,220.51,376.15,1330.34,261.1,297.02,1
