zip,price region
53001,1
53002,1
53003,1
53004,1
53005,1
53006,1
53007,1
53010,1
53011,1
53012,1
53013,1
53014,1
53015,1
53016,1
53017,1
53018,1
53019,1
53020,1
53021,1
53022,1
53023,1
53024,1
53027,1
53029,1
53031,1
53032,1
53033,1
53034,1
53035,1
53036,1
53037,1
53038,1
53039,1
53040,1
53042,1
53044,1
53045,1
53046,1
53047,1
53048,1
53049,1
53050,1
53051,1
53057,1
53058,1
53059,1
53061,1
53063,1
53065,1
53066,1
53069,1
53070,1
53072,1
53073,1
53074,1
53075,1
53076,1
53078,1
53079,1
53080,1
53081,1
53083,1
53085,1
53086,1
53088,1
53089,1
53090,1
53091,1
53092,1
53093,1
53094,1
53095,1
53097,1
53098,1
53103,1
53104,1
53105,1
53108,1
53110,1
53114,1
53115,1
53118,1
53119,1
53120,1
53121,1
53122,1
53125,1
53126,1
53128,1
53129,1
53130,1
53132,1
53137,1
53139,1
53140,1
53142,1
53143,1
53144,1
53146,1
53147,1
53149,1
53150,1
53151,1
53153,1
53154,1
53156,1
53158,1
53167,1
53168,1
53170,1
53172,1
53177,1
53178,1
53179,1
53181,1
53182,1
53183,1
53184,1
53185,1
53186,1
53188,1
53189,1
53190,1
53191,1
53192,1
53195,1
53202,1
53203,1
53204,1
53205,1
53206,1
53207,1
53208,1
53209,1
53210,1
53211,1
53212,1
53213,1
53214,1
53215,1
53216,1
53217,1
53218,1
53219,1
53220,1
53221,1
53222,1
53223,1
53224,1
53225,1
53226,1
53227,1
53228,1
53233,1
53235,1
53295,1
53402,1
53403,1
53404,1
53405,1
53406,1
53501,1
53502,1
53503,1
53504,1
53505,1
53506,1
53507,1
53508,1
53510,1
53511,1
53515,1
53516,1
53517,1
53518,1
53520,1
53521,1
53522,1
53523,1
53525,1
53526,1
53527,1
53528,1
53529,1
53530,1
53531,1
53532,1
53533,1
53534,1
53536,1
53537,1
53538,1
53540,1
53541,1
53543,1
53544,1
53545,1
53546,1
53548,1
53549,1
53550,1
53551,1
53553,1
53554,1
53555,1
53556,1
53557,1
53558,1
53559,1
53560,1
53561,1
53562,1
53563,1
53565,1
53566,1
53569,1
53570,1
53571,1
53572,1
53573,1
53574,1
53575,1
53576,1
53577,1
53578,1
53579,1
53580,1
53581,1
53582,1
53583,1
53585,1
53586,1
53587,1
53588,1
53589,1
53590,1
53593,1
53594,1
53597,1
53598,1
53599,1
53702,1
53703,1
53704,1
53705,1
53706,1
53711,1
53713,1
53714,1
53715,1
53716,1
53717,1
53718,1
53719,1
53726,1
53792,1
53801,1
53802,1
53803,1
53804,1
53805,1
53806,1
53807,1
53808,1
53809,1
53810,1
53811,1
53813,1
53816,1
53817,1
53818,1
53820,1
53821,1
53825,1
53826,1
53827,1
53901,1
53910,1
53911,1
53913,1
53916,1
53919,1
53920,1
53922,1
53923,1
53924,1
53925,1
53926,1
53928,1
53929,1
53930,1
53931,1
53932,1
53933,1
53934,1
53935,1
53936,1
53937,1
53939,1
53941,1
53943,1
53944,1
53946,1
53947,1
53948,1
53949,1
53950,1
53951,1
53952,1
53953,1
53954,1
53955,1
53956,1
53959,1
53960,1
53961,1
53963,1
53964,1
53965,1
53968,1
53969,1
54001,1
54002,1
54003,1
54004,1
54005,1
54006,1
54007,1
54009,1
54011,1
54013,1
54014,1
54015,1
54016,1
54017,1
54020,1
54021,1
54022,1
54023,1
54024,1
54025,1
54026,1
54027,1
54028,1
54082,1
54101,1
54102,1
54103,1
54104,1
54106,1
54107,1
54110,1
54111,1
54112,1
54113,1
54114,1
54115,1
54119,1
54120,1
54121,1
54123,1
54124,1
54125,1
54126,1
54127,1
54128,1
54129,1
54130,1
54135,1
54136,1
54137,1
54138,1
54139,1
54140,1
54141,1
54143,1
54149,1
54150,1
54151,1
54153,1
54154,1
54155,1
54156,1
54157,1
54159,1
54160,1
54161,1
54162,1
54165,1
54166,1
54169,1
54170,1
54171,1
54173,1
54174,1
54175,1
54177,1
54180,1
54201,1
54202,1
54204,1
54205,1
54207,1
54208,1
54209,1
54210,1
54211,1
54212,1
54213,1
54214,1
54216,1
54217,1
54220,1
54227,1
54228,1
54229,1
54230,1
54232,1
54234,1
54235,1
54241,1
54245,1
54246,1
54247,1
54301,2
54302,2
54303,2
54304,2
54307,2
54311,2
54313,2
54401,2
54403,2
54405,2
54406,2
54407,2
54408,2
54409,2
54410,2
54411,2
54412,2
54413,2
54414,2
54416,2
54417,2
54418,2
54420,2
54421,2
54422,2
54423,2
54424,2
54425,2
54426,2
54427,2
54428,2
54430,2
54433,2
54435,2
54436,2
54437,2
54440,2
54441,2
54442,2
54443,2
54446,2
54447,2
54448,2
54449,2
54450,2
54451,2
54452,2
54454,2
54455,2
54456,2
54457,2
54458,2
54459,2
54460,2
54462,2
54463,2
54465,2
54466,2
54467,2
54469,2
54470,2
54471,2
54473,2
54474,2
54475,2
54476,2
54479,2
54480,2
54481,2
54482,2
54484,2
54485,2
54486,2
54487,2
54488,2
54489,2
54490,2
54491,2
54493,2
54494,2
54495,2
54498,2
54499,2
54501,2
54511,2
54512,2
54513,2
54514,2
54515,2
54517,2
54519,2
54520,2
54521,2
54524,2
54525,2
54526,2
54527,2
54529,2
54530,2
54531,2
54534,2
54536,2
54537,2
54538,2
54539,2
54540,2
54541,2
54542,2
54545,2
54546,2
54547,2
54548,2
54550,2
54552,2
54554,2
54555,2
54556,2
54557,2
54558,2
54559,2
54560,2
54561,2
54562,2
54563,2
54564,2
54565,2
54566,2
54568,2
54601,3
54603,3
54610,3
54611,3
54612,3
54613,3
54614,3
54615,3
54616,3
54618,3
54619,3
54621,3
54622,3
54623,3
54624,3
54625,3
54626,3
54627,3
54628,3
54629,3
54630,3
54631,3
54632,3
54634,3
54635,3
54636,3
54637,3
54638,3
54639,3
54641,3
54642,3
54643,3
54644,3
54645,3
54646,3
54648,3
54650,3
54651,3
54652,3
54653,3
54654,3
54655,3
54656,3
54657,3
54658,3
54659,3
54660,3
54661,3
54664,3
54665,3
54666,3
54667,3
54669,3
54670,3
54701,3
54703,3
54720,3
54721,3
54722,3
54723,3
54724,3
54725,3
54726,3
54727,3
54728,3
54729,3
54730,3
54731,3
54732,3
54733,3
54734,3
54736,3
54737,3
54738,3
54739,3
54740,3
54741,3
54742,3
54745,3
54746,3
54747,3
54748,3
54749,3
54750,3
54751,3
54754,3
54755,3
54756,3
54757,3
54758,3
54759,3
54760,3
54761,3
54762,3
54763,3
54765,3
54766,3
54767,3
54768,3
54769,3
54770,3
54771,3
54772,3
54773,3
54801,3
54805,3
54806,3
54810,3
54812,3
54813,3
54814,3
54817,3
54819,3
54820,3
54821,3
54822,3
54824,3
54826,3
54827,3
54828,3
54829,3
54830,3
54832,3
54835,3
54836,3
54837,3
54838,3
54839,3
54840,3
54841,3
54842,3
54843,3
54844,3
54845,3
54846,3
54847,3
54848,3
54849,3
54850,3
54853,3
54854,3
54855,3
54856,3
54857,3
54858,3
54859,3
54861,3
54862,3
54864,3
54865,3
54867,3
54868,3
54870,3
54871,3
54872,3
54873,3
54874,3
54875,3
54876,3
54880,3
54888,3
54889,3
54891,3
54893,3
54895,3
54896,3
54901,2
54902,2
54904,2
54909,2
54911,2
54913,2
54914,2
54915,2
54921,2
54922,2
54923,2
54927,2
54928,2
54929,2
54930,2
54931,2
54932,2
54933,2
54935,2
54937,2
54940,2
54941,2
54942,2
54943,2
54944,2
54945,2
54946,2
54947,2
54948,2
54949,2
54950,2
54952,2
54956,2
54960,2
54961,2
54962,2
54963,2
54964,2
54965,2
54966,2
54967,2
54968,2
54970,2
54971,2
54974,2
54977,2
54979,2
54980,2
54981,2
54982,2
54983,2
54984,2
54985,2
54986,2